domain,problem,time,result
pipesworld-notankage,p47-net5-b28-g5.pddl,6.312930345535278,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p42-net5-b22-g4.pddl,5.317338705062866,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p28-net3-b18-g7.pddl,5.4164817333221436,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p34-net4-b16-g6.pddl,4.758080959320068,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p18-net2-b16-g7.pddl,10.518649578094482,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p50-net5-b30-g8.pddl,7.3533546924591064,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p12-net2-b10-g4.pddl,4.580178737640381,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p08-net1-b12-g7.pddl,4.439922571182251,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p36-net4-b18-g6.pddl,4.967189311981201,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p15-net2-b14-g4.pddl,5.213638782501221,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p05-net1-b10-g4.pddl,5.951220512390137,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p04-net1-b8-g5.pddl,6.0149452686309814,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p14-net2-b12-g5.pddl,5.067987680435181,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p25-net3-b16-g5.pddl,5.437421083450317,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p39-net4-b22-g7.pddl,12.735005617141724,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p10-net1-b14-g8.pddl,5.267233610153198,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p49-net5-b30-g6.pddl,6.025686740875244,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p09-net1-b14-g6.pddl,5.897968292236328,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p33-net4-b16-g5.pddl,6.074164152145386,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p11-net2-b10-g2.pddl,5.9724249839782715,NON_ROBUST_SINGLE_AGENT
sokoban-sat08-strips,p09.pddl,173.24038863182068,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p21-net3-b12-g2.pddl,12.526108980178833,NON_ROBUST_SINGLE_AGENT
sokoban-sat08-strips,p22.pddl,150.77830934524536,NON_ROBUST_SINGLE_AGENT
sokoban-sat08-strips,p17.pddl,100.88497543334961,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p44-net5-b24-g5.pddl,7.125132322311401,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p37-net4-b20-g5.pddl,6.005817890167236,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p38-net4-b20-g7.pddl,7.028620481491089,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p45-net5-b26-g4.pddl,8.142039775848389,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p48-net5-b28-g7.pddl,7.797804594039917,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p29-net3-b20-g6.pddl,7.364590883255005,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p27-net3-b18-g6.pddl,7.6048054695129395,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p16-net2-b14-g6.pddl,13.14613127708435,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p19-net2-b18-g6.pddl,12.674901723861694,NON_ROBUST_SINGLE_AGENT
sokoban-sat08-strips,p23.pddl,321.00763154029846,NON_ROBUST_SINGLE_AGENT
sokoban-sat08-strips,p19.pddl,281.315717458725,NON_ROBUST_SINGLE_AGENT
sokoban-opt11-strips,p10.pddl,65.29873323440552,NON_ROBUST_SINGLE_AGENT
sokoban-opt11-strips,p03.pddl,68.63398241996765,NON_ROBUST_SINGLE_AGENT
sokoban-opt11-strips,p20.pddl,76.73134517669678,NON_ROBUST_SINGLE_AGENT
sokoban-opt11-strips,p14.pddl,130.18369460105896,NON_ROBUST_SINGLE_AGENT
sokoban-opt11-strips,p13.pddl,87.64027619361877,NON_ROBUST_SINGLE_AGENT
sokoban-opt11-strips,p11.pddl,205.6027979850769,NON_ROBUST_SINGLE_AGENT
sokoban-opt11-strips,p08.pddl,231.62615776062012,NON_ROBUST_SINGLE_AGENT
sokoban-sat08-strips,p26.pddl,402.21115708351135,NON_ROBUST_SINGLE_AGENT
sokoban-opt11-strips,p19.pddl,151.7198188304901,NON_ROBUST_SINGLE_AGENT
sokoban-opt11-strips,p18.pddl,240.78248286247253,NON_ROBUST_SINGLE_AGENT
sokoban-opt11-strips,p05.pddl,266.88615584373474,NON_ROBUST_SINGLE_AGENT
sokoban-opt11-strips,p16.pddl,274.2277846336365,NON_ROBUST_SINGLE_AGENT
sokoban-opt11-strips,p15.pddl,207.87380862236023,NON_ROBUST_SINGLE_AGENT
sokoban-opt11-strips,p01.pddl,69.21984910964966,NON_ROBUST_SINGLE_AGENT
sokoban-opt11-strips,p17.pddl,71.14876890182495,NON_ROBUST_SINGLE_AGENT
sokoban-opt11-strips,p07.pddl,89.44683647155762,NON_ROBUST_SINGLE_AGENT
sokoban-opt11-strips,p09.pddl,229.25993251800537,NON_ROBUST_SINGLE_AGENT
sokoban-opt11-strips,p02.pddl,195.75685095787048,NON_ROBUST_SINGLE_AGENT
sokoban-opt11-strips,p06.pddl,276.551810503006,NON_ROBUST_SINGLE_AGENT
